560,296,665
569,294,659
593,296,725
598,284,694
535,298,632
579,294,660
563,309,647
534,309,634
550,310,635
241,315,271
522,319,607
566,301,628
528,347,568
521,359,578
481,356,566
497,337,637
504,340,557
563,353,594
529,435,519
513,369,500
512,350,597
525,337,623
510,331,610
478,316,253
446,307,560
531,306,591
523,303,596
509,306,582
500,309,598
516,310,576
475,307,547
494,310,546
526,307,593
573,301,638
548,309,643
509,301,585
522,310,613
503,306,523
488,310,593
544,290,629
557,309,598
557,323,613
543,366,660
523,397,591
488,397,550
490,376,613
518,360,613
528,348,603
526,335,591
507,337,587
522,344,610
493,365,481
323,378,556
553,388,590
498,357,553
525,321,560
541,312,629
560,304,662
509,315,601
496,316,618
518,331,646
596,375,648
566,382,578
562,343,660
209,318,253
556,318,675
594,329,659
519,397,609
525,493,594
478,563,581
169,590,553
138,591,556
444,588,565
472,588,565
519,588,594
515,585,584
541,584,709
482,587,693
